dataset,Model,MAE_all,RMSE_all,R2_all,MAE_all_ci_low,MAE_all_ci_high,MAE_last,RMSE_last,R2_last,MAE_last_ci_low,MAE_last_ci_high,fit_time_s,pred_time_s
Order Management,HGT (ours),167.13841705566912,254.24808368364629,-0.3165064721173212,159.23925857475507,174.53191532125297,97.99493554748253,138.25789025556628,0.0508738898670098,86.42209484006287,110.54176560501978,175.00108003616333,6.269979000091553
Order Management,HomoGNN (GCN),157.4617693054135,240.07351526620488,-0.1738054599618403,150.1225055616079,164.40723346529535,103.8404947887696,134.07256707258912,0.1074677457207032,94.09525622112857,115.266780288321,8.894527912139893,0.3805363178253174
Order Management,k-dim GNN (HOEG),170.40350566981374,253.88330404042355,-0.3127314957361879,162.74479916152038,177.5838626537298,95.75380906989322,122.73081856924532,0.2520865704340299,86.1223064090853,105.55091359859,77.00649428367615,3.582366943359375
Order Management,Mean predictor,163.23017904873112,238.1791622602525,-0.155354250737655,156.24989256695224,169.78955764428733,149.98734250527505,172.4073511781009,-0.4758955604919705,140.0899667206413,160.90341308954743,2.09808349609375e-05,4.76837158203125e-06
Order Management,GBT,168.82451017287624,247.5140840501754,-0.247692234634258,161.4122593624979,175.6907090282485,134.37821662771972,163.5192642430643,-0.327644852706386,123.15235799035628,146.86819276463507,3.291421890258789,0.004026174545288
Logistics,HGT (ours),111.99596265169242,143.21399102251434,0.3037707116204948,110.23006476046712,113.82041279374326,6.1241631473022276,7.731694878788119,-0.1700579631207404,5.367803880861119,6.9613142900534,1675.5682260990145,31.19846129417419
Logistics,HomoGNN (GCN),112.7456319728068,144.3881490019037,0.2923076654744877,110.9164532444287,114.57420547774426,12.826630861832792,24.34219336860703,-10.597847103197374,9.846554019128332,16.618162466483707,43.08567667007446,1.8789477348327637
Logistics,k-dim GNN (HOEG),120.40652231621767,146.14596915974036,0.2749715027789502,118.7678453571154,121.987969584178,52.30163053158167,75.73600339566401,-111.26974342920737,43.81258276805842,62.07687476688481,417.9554669857025,17.86742854118347
Logistics,Mean predictor,141.34128742738395,172.5874321293627,-0.0111130785779918,139.2668668901833,143.379417814891,301.09598065916225,301.18080993890106,-1774.4673355712966,299.9709365267145,302.37272673404146,7.510185241699219e-05,5.0067901611328125e-06
Logistics,GBT,125.0883397466488,153.35781000907923,0.201650256758138,123.2317270602628,126.76661361159726,17.689559286499605,22.54122859099003,-8.945194002834471,15.352243603664093,20.09119001228602,2.1304397583007812,0.0100550651550292
