epoch,train_loss,val_mae,lr,model,dataset,val_mae_last_event,norm_TransportDocument,norm_Vehicle,norm_HandlingUnit,norm_CustomerOrder,norm_Container,norm_Truck,norm_Forklift,norm_Events
1,0.628339202164122,0.4513401393928835,0.001,HGT (ours),Order Management,,,,,,,,,
2,0.6070625883312026,0.4788792434158505,0.001,HGT (ours),Order Management,,,,,,,,,
3,0.590494122154841,0.4535760130452853,0.001,HGT (ours),Order Management,,,,,,,,,
4,0.574223518547429,0.4816174873261041,0.001,HGT (ours),Order Management,,,,,,,,,
5,0.5476027632992817,0.5209969516082477,0.001,HGT (ours),Order Management,,,,,,,,,
1,0.6229323829629388,0.4431415461404349,0.001,HomoGNN (GCN),Order Management,,,,,,,,,
2,0.605750806203603,0.432576494031055,0.001,HomoGNN (GCN),Order Management,,,,,,,,,
3,0.5970068443619174,0.4451576134850902,0.001,HomoGNN (GCN),Order Management,,,,,,,,,
4,0.589713664123638,0.4225752837555382,0.001,HomoGNN (GCN),Order Management,,,,,,,,,
5,0.5812402235818862,0.4367948998046178,0.001,HomoGNN (GCN),Order Management,,,,,,,,,
6,0.5724011349383216,0.4389320793010855,0.001,HomoGNN (GCN),Order Management,,,,,,,,,
7,0.562774238194474,0.4583020976153753,0.001,HomoGNN (GCN),Order Management,,,,,,,,,
8,0.5519464868855981,0.4748564155031276,0.001,HomoGNN (GCN),Order Management,,,,,,,,,
1,0.6623069848313565,0.6473941811978335,0.005,HGT (ours),Logistics,0.0319338103135426,2.3797359466552734,1.6276384592056274,2.301964521408081,2.565810441970825,2.488291501998902,1.868738055229187,2.414345979690552,6.332154750823975
2,0.6564709720454157,0.6572742508164581,0.005,HGT (ours),Logistics,0.068665991226832,1.7114180326461792,1.6775935888290403,2.2290635108947754,2.6027536392211914,2.6257174015045166,1.41884183883667,2.4137520790100098,8.368426322937012
3,0.6481296040988854,0.6585773318611814,0.005,HGT (ours),Logistics,0.0932347257932027,2.0530905723571777,1.983696222305298,2.637101650238037,2.926297187805176,2.76762318611145,1.3926584720611572,2.413158655166626,10.784427642822266
4,0.6673231103342643,0.7286123818154724,0.005,HGT (ours),Logistics,0.4039970586697261,2.411858320236206,1.8006874322891235,2.8090007305145264,2.865777015686035,3.2835586071014404,1.393352508544922,2.412564992904663,12.022579193115234
5,0.6655508330632437,0.6409220145105177,0.005,HGT (ours),Logistics,0.0280095656712849,2.497060775756836,1.533935546875,2.677734613418579,2.995269536972046,3.3163418769836426,1.4453471899032593,2.411971092224121,13.527332305908203
6,0.6283105153766372,0.6511352504366115,0.005,HGT (ours),Logistics,0.0355425129334131,1.9907537698745728,1.4347522258758545,3.062392473220825,3.302123546600342,3.453056812286377,1.5765564441680908,2.411377429962158,14.541142463684082
7,0.6315338674131635,0.7149323673632809,0.005,HGT (ours),Logistics,0.0868953595558802,2.490126848220825,1.592300295829773,3.117820501327514,3.242579221725464,3.451687812805176,1.7351280450820925,2.4107837677001953,15.651650428771973
8,0.6888921846768442,0.7131106348969671,0.005,HGT (ours),Logistics,0.1108671138683954,2.561413526535034,1.720232367515564,3.1197683811187744,3.593282699584961,3.869405508041382,1.6949822902679443,2.4101903438568115,16.617340087890625
9,0.6942868943241199,0.7352979371404929,0.005,HGT (ours),Logistics,0.1110987941424051,2.350813388824463,1.86980140209198,2.7939212322235107,3.347813844680786,3.716198205947876,1.8438411951065063,2.4095964431762695,17.427082061767578
10,0.6977642356857473,0.7182694151242107,0.005,HGT (ours),Logistics,0.1314656088749567,2.7601122856140137,1.955143928527832,2.775486469268799,3.55763840675354,4.094819068908691,1.7935166358947754,2.409002780914306,18.021337509155273
11,0.6923798935394777,0.7073039264735013,0.005,HGT (ours),Logistics,0.1203654358784357,2.7849373817443848,1.766693949699402,2.4639029502868652,3.703288793563843,4.462770938873291,2.3470449447631836,2.408409118652344,18.84935188293457
12,0.7080354740071986,0.8162695480741884,0.005,HGT (ours),Logistics,1.7430201947689057,2.4930922985076904,1.407672882080078,2.9928040504455566,3.5883171558380127,4.425746440887451,2.6341307163238525,2.407815456390381,20.044944763183594
13,0.8068459856788919,0.8151646067866677,0.005,HGT (ours),Logistics,1.753354894121488,2.4490692615509033,1.7261680364608765,1.978125810623169,3.631326198577881,4.977364540100098,2.926815986633301,2.407221794128418,20.30701065063477
14,0.7813264323942489,0.7790116371300885,0.005,HGT (ours),Logistics,0.623873787621657,2.171140193939209,1.5305911302566528,2.0119521617889404,3.928779125213623,4.831381797790527,2.775238275527954,2.406628370285034,20.759822845458984
15,0.6689517546334107,0.6721135114765097,0.005,HGT (ours),Logistics,0.2314362227916717,2.29602575302124,1.4927386045455933,1.6657499074935913,4.063255786895752,4.515334606170654,2.765437602996826,2.406034469604492,22.18063163757324
1,0.6511656649448302,0.6430632366120684,0.01,HomoGNN (GCN),Logistics,,,,,,,,,
2,0.6084777937029436,0.6665034541546817,0.01,HomoGNN (GCN),Logistics,,,,,,,,,
3,0.5899155256618113,0.6833245765803756,0.01,HomoGNN (GCN),Logistics,,,,,,,,,
4,0.5809551735199793,0.7005172762819987,0.01,HomoGNN (GCN),Logistics,,,,,,,,,
5,0.5718680989299548,0.6982611370559653,0.01,HomoGNN (GCN),Logistics,,,,,,,,,
6,0.5696570756111136,0.7071782262600318,0.01,HomoGNN (GCN),Logistics,,,,,,,,,
7,0.5570503709514116,0.7105558967082313,0.01,HomoGNN (GCN),Logistics,,,,,,,,,
8,0.5470560177047009,0.6750702657829217,0.01,HomoGNN (GCN),Logistics,,,,,,,,,
