model,database,task_id,hidden_channels,lr,num_layers,val_mae_normalized
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,64,0.001,5.0,0.7910690386110693
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,32,0.001,5.0,0.7909844487089628
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,24,0.01,4.0,0.7909957705686108
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,32,0.01,4.0,0.792472189184025
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,24,0.01,3.0,0.7910635913359829
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,8,0.001,5.0,0.7650821029530309
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,16,0.01,5.0,0.7921478801009583
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,48,0.01,3.0,0.7903874479383184
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,48,0.01,4.0,0.7914534720713379
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,16,0.001,5.0,0.6457967817621785
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,24,0.001,4.0,0.665344763222895
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,8,0.01,5.0,0.7920288507712324
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,16,0.001,4.0,0.6483633646051683
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,48,0.001,5.0,0.7911197441251635
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,24,0.001,3.0,0.6765903514314022
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,48,0.001,4.0,0.641273547939083
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,48,0.001,3.0,0.6664310976231522
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,16,0.001,3.0,0.6809629549549377
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,32,0.001,3.0,0.7097009513647473
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,32,0.001,4.0,0.6660185817689831
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,16,0.01,3.0,0.6419089367044262
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,64,0.01,4.0,0.7757185442720934
Logistics / CustomerOrder → LoadToVehicle,logistics,TimeFrom_CustomerOrder_to_LoadToVehicle,8,0.001,3.0,0.6855212769215289
