label,mean_signed_shift,std_shift,count
Events=BringToLoadingBay,-65.48729110663083,121.19411337810656,31
Container=cr2967,-61.756024305555556,0.0,1
Events=Depart,13.99797664141414,19.88308236783273,11
Events=CreateTransportDocument,-12.055964368386245,19.817822369530454,42
Events=BookVehicles,-10.53114914021164,23.521902862888396,21
Container=cr3073,8.662152777777777,0.0,1
Events=RegisterCustomerOrder,1.4210584490740745,12.174982438238212,30
Events=LoadToVehicle,-1.3494252873563213,18.27955645646098,29
Container=cr3016,0.9116059027777778,0.9020225694444445,2
Events=OrderEmptyContainers,0.4029340277777778,10.869353852010786,7
Container=cr3044,0.39263888888888887,0.0,1
Container=cr2896,-0.3010763888888889,0.0,1
Container=cr2974,-0.24472222222222229,2.392734888724059,3
Container=cr2922,-0.22427083333333334,0.0,1
Container=cr2923,-0.08756944444444445,0.0,1
