dataset,baseline,n_paired,hgt_mae,baseline_mae,mean_diff,ci_low,ci_high,wilcoxon_p,ttest_p
Order Management,HomoGNN (GCN),235,97.99493554748253,103.8404947887696,-5.845559241287066,-13.72181670516336,2.159876476563807,0.0162171898748045,0.1598359122775932
Order Management,k-dim GNN (HOEG),235,97.99493554748253,95.75380906989322,2.241126477589319,-6.284851047742253,10.959422560667612,0.3141965562955995,0.6136878739708955
Order Management,Mean predictor,235,97.99493554748253,149.98734212262588,-51.99240657514336,-69.73176586195903,-34.585406993590816,6.296526151684738e-09,3.663274444228385e-08
Order Management,GBT,235,97.99493554748253,134.37821618674403,-36.38328063926156,-52.96945886655556,-20.242304830452756,4.066342781646522e-07,1.6045764929682505e-05
Logistics,HomoGNN (GCN),138,6.1241631473022276,12.826630861832792,-6.702467714530565,-10.417175402596518,-3.76245141832109,7.388251127884275e-07,0.0001675676172341
Logistics,k-dim GNN (HOEG),138,6.1241631473022276,52.30163053158167,-46.177467384279446,-55.70911584709135,-37.59037138192898,1.07807657528953e-21,7.250288641399663e-18
Logistics,Mean predictor,138,6.1241631473022276,301.09598087544816,-294.97181772814594,-295.974777891667,-293.88693416406085,2.1563877372358566e-24,1.5240991310396415e-230
Logistics,GBT,138,6.1241631473022276,17.689559815559726,-11.5653966682575,-13.974380698331268,-9.15253642083601,1.7461745940896741e-15,2.0873429689900068e-16
