Dataset_KPI,Model,MAE_all,RMSE_all,R2_all,MAE_all_ci_low,MAE_all_ci_high,MAE_last,RMSE_last,R2_last,MAE_last_ci_low,MAE_last_ci_high,fit_time_s,pred_time_s,Note
Order Management / Orders → PayOrder,HGT,167.13841705566912,254.24808368364629,-0.3165064721173212,159.23925857475507,174.53191532125297,97.99493554748253,138.25789025556628,0.0508738898670098,86.42209484006287,110.54176560501978,175.00108003616333,6.269979000091553,
Order Management / Orders → PayOrder,HomoGNN (GCN),157.4617693054135,240.07351526620488,-0.1738054599618403,150.1225055616079,164.40723346529535,103.8404947887696,134.07256707258912,0.1074677457207032,94.09525622112857,115.266780288321,8.894527912139893,0.3805363178253174,
Order Management / Orders → PayOrder,k-dim GNN (HOEG),170.40350566981374,253.88330404042355,-0.3127314957361879,162.74479916152038,177.5838626537298,95.75380906989322,122.73081856924532,0.2520865704340299,86.1223064090853,105.55091359859,77.00649428367615,3.582366943359375,
Order Management / Orders → PayOrder,Mean predictor,163.23017904873112,238.1791622602525,-0.155354250737655,156.24989256695224,169.78955764428733,149.98734250527505,172.4073511781009,-0.4758955604919705,140.0899667206413,160.90341308954743,2.09808349609375e-05,4.76837158203125e-06,
Order Management / Orders → PayOrder,GBT,168.82451017287624,247.5140840501754,-0.247692234634258,161.4122593624979,175.6907090282485,134.37821662771972,163.5192642430643,-0.327644852706386,123.15235799035628,146.86819276463507,3.291421890258789,0.004026174545288,
Order Management / Orders → PackageDelivered,HGT,196.8323666145423,272.94648920545285,-0.5172693526402181,189.15905137397772,204.21690054435155,158.44038560678226,203.5023278852778,-1.0562827945968332,141.82800469747295,175.48770092169693,465.0362040996551,6.334768772125244,
Order Management / Orders → PackageDelivered,HomoGNN (GCN),195.9925749075202,273.61110037147165,-0.5246672997722079,188.36829202731008,203.51213701847757,151.4251609443145,197.3791528830051,-0.9344015881551138,135.06326301798364,168.37011347779463,24.78491806983948,0.3757781982421875,
Order Management / Orders → PackageDelivered,k-dim GNN (HOEG),167.45264836386454,249.6697202195088,-0.2695195982869562,159.9425895762014,174.5697259317256,100.71557594854886,134.38559618368842,0.1032951405527711,89.9602396282251,112.11119359744065,75.20503807067871,3.6040289402008057,
Order Management / Orders → PackageDelivered,Mean predictor,163.23017904873112,238.1791622602525,-0.155354250737655,156.24989256695224,169.78955764428733,149.98734250527505,172.4073511781009,-0.4758955604919705,140.0899667206413,160.90341308954743,1.0967254638671877e-05,5.0067901611328125e-06,
Order Management / Orders → PackageDelivered,GBT,168.82451017287624,247.5140840501754,-0.247692234634258,161.4122593624979,175.6907090282485,134.37821662771972,163.5192642430643,-0.327644852706386,123.15235799035628,146.86819276463507,3.1837849617004395,0.0039858818054199,
Logistics / CustomerOrder → Depart,HGT,111.99596265169242,143.21399102251434,0.3037707116204948,110.23006476046712,113.82041279374326,6.1241631473022276,7.731694878788119,-0.1700579631207404,5.367803880861119,6.9613142900534,1675.5682260990145,31.19846129417419,
Logistics / CustomerOrder → Depart,HomoGNN (GCN),112.7456319728068,144.3881490019037,0.2923076654744877,110.9164532444287,114.57420547774426,12.826630861832792,24.34219336860703,-10.597847103197374,9.846554019128332,16.618162466483707,43.08567667007446,1.8789477348327637,
Logistics / CustomerOrder → Depart,k-dim GNN (HOEG),120.40652231621767,146.14596915974036,0.2749715027789502,118.7678453571154,121.987969584178,52.30163053158167,75.73600339566401,-111.26974342920737,43.81258276805842,62.07687476688481,417.9554669857025,17.86742854118347,
Logistics / CustomerOrder → Depart,Mean predictor,141.34128742738395,172.5874321293627,-0.0111130785779918,139.2668668901833,143.379417814891,301.09598065916225,301.18080993890106,-1774.4673355712966,299.9709365267145,302.37272673404146,7.510185241699219e-05,5.0067901611328125e-06,
Logistics / CustomerOrder → Depart,GBT,125.0883397466488,153.35781000907923,0.201650256758138,123.2317270602628,126.76661361159726,17.689559286499605,22.54122859099003,-8.945194002834471,15.352243603664093,20.09119001228602,2.1304397583007812,0.0100550651550292,
Logistics / CustomerOrder → LoadToVehicle,HGT,115.04864693576612,143.8855206353638,0.2807727121015081,113.18280153849486,116.88183280510978,8.352703270905977,9.943377216799762,-30.83790533713796,7.531661020017767,9.27500133189475,3777.7436199188232,45.015690326690674,
Logistics / CustomerOrder → LoadToVehicle,HomoGNN (GCN),123.9007135118028,153.00684816710424,0.1866944996626616,122.10473902825908,125.86175450745574,39.74259307045526,53.353597636120874,-915.6511232637482,34.00401505293238,45.504876158510875,83.77286195755005,2.6421806812286377,
Logistics / CustomerOrder → LoadToVehicle,k-dim GNN (HOEG),118.42026485577684,149.692891148326,0.2215435453358074,116.52985511689528,120.40902740694982,25.355904224738996,49.42853991504502,-785.7417912499685,19.196130473755833,32.65962804675016,807.5607957839966,24.59347128868103,
Logistics / CustomerOrder → LoadToVehicle,Mean predictor,140.4183149668681,170.5796533082524,-0.0108493264603326,138.42068942730768,142.4980837741506,304.1915805956011,304.19668496930814,-29796.90025531248,303.87876824441054,304.46749180591854,1.9788742065429688e-05,5.245208740234375e-06,
Logistics / CustomerOrder → LoadToVehicle,GBT,126.8348687259967,154.53165438906962,0.1704035604915567,124.9594817235763,128.7283289481026,23.702300078148923,33.39569998906284,-358.1350645209925,19.9938798129277,27.77026805652447,2.1412551403045654,0.0101537704467773,
