dataset,method,n_paired,fidelity_plus,fidelity_minus,characterization,node_sparsity,n_sparsity_source
Order Management,LOO,47,102.69257830969268,17.936703235815607,0.8147172970202857,0.6452334999999999,50
Order Management,GNNExplainer,47,84.69534925384161,40.92083924349881,0.6845371942155513,0.8071814407863243,47
Logistics,LOO,50,208.30911215277783,13.262522916666667,0.9752572047843617,0.8677915800000001,50
Logistics,GNNExplainer,50,313.57064131944446,112.486734375,0.7572888662693845,0.928713696814408,50
